idstock,stock_name,stock_idname,stock_awal,stock_order,stock_akhir,stock_date,stock_author,stock_status,stock_keterangan
147,"variant",155,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,"2007-03-28","admin",1,
148,"variant",89,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,"2007-03-28","admin",1,
149,"variant",109,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,"2007-03-28","admin",1,
150,"variant",109,1.0000000000000000e+00,5.0000000000000000e+03,5.1000000000000000e+03,"2007-03-28","admin",1,
151,"variant",39,0.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,"2007-03-28","admin",1,
152,"variant",39,2.0000000000000000e+00,5.0000000000000000e+00,5.0019999999999998e+00,"2007-03-28","admin",1,
153,"variant",39,5.0020000000000000e+03,5.0000000000000000e+02,1.0000000000000000e+03,"2007-03-28","admin",1,
154,"variant",110,0.0000000000000000e+00,5.0000000000000000e+02,5.0000000000000000e+02,"2007-03-28","admin",1,
155,"variant",108,0.0000000000000000e+00,1.0000000000000000e+04,1.0000000000000000e+04,"2007-03-28","admin",1,
156,"variant",99,0.0000000000000000e+00,1.0000000000000000e+04,1.0000000000000000e+04,"2007-03-28","admin",1,
157,"variant",111,0.0000000000000000e+00,3.0000000000000000e+04,3.0000000000000000e+04,"2007-03-28","admin",1,
158,"variant",112,0.0000000000000000e+00,1.0000000000000000e+04,1.0000000000000000e+04,"2007-03-28","admin",1,
159,"variant",40,0.0000000000000000e+00,1.0000000000000000e+02,1.0000000000000000e+02,"2007-03-28","admin",1,
160,"variant",41,0.0000000000000000e+00,3.0000000000000000e+02,3.0000000000000000e+02,"2007-03-28","admin",1,
161,"variant",42,0.0000000000000000e+00,3.0000000000000000e+02,3.0000000000000000e+02,"2007-03-28","admin",1,
162,"variant",113,0.0000000000000000e+00,3.0000000000000000e+02,3.0000000000000000e+02,"2007-03-28","admin",1,
163,"variant",43,0.0000000000000000e+00,3.0000000000000000e+02,3.0000000000000000e+02,"2007-03-28","admin",1,
164,"variant",61,0.0000000000000000e+00,3.0000000000000000e+02,3.0000000000000000e+02,"2007-03-28","admin",1,
165,"variant",44,0.0000000000000000e+00,3.0000000000000000e+02,3.0000000000000000e+02,"2007-03-28","admin",1,
166,"variant",114,0.0000000000000000e+00,3.0000000000000000e+02,3.0000000000000000e+02,"2007-03-28","admin",1,
167,"variant",45,0.0000000000000000e+00,3.0000000000000000e+02,3.0000000000000000e+02,"2007-03-28","admin",1,
168,"variant",115,0.0000000000000000e+00,6.0000000000000000e+02,6.0000000000000000e+02,"2007-03-28","admin",1,
169,"variant",90,0.0000000000000000e+00,6.0000000000000000e+02,6.0000000000000000e+02,"2007-03-28","admin",1,
170,"variant",116,0.0000000000000000e+00,1.0000000000000000e+03,1.0000000000000000e+03,"2007-03-28","admin",1,
171,"variant",117,0.0000000000000000e+00,3.0000000000000000e+02,3.0000000000000000e+02,"2007-03-28","admin",1,
172,"variant",46,0.0000000000000000e+00,3.0000000000000000e+02,3.0000000000000000e+02,"2007-03-28","admin",1,
