idvariant,variant_kode,variant_nama,variant_harga,variant_stock,variant_date,variant_author,variant_ls_stock,variant_ls_date,variant_ls_author
39,"ALR","ALLURE WOMAN",2.0000000000000000e+03,2.0500000000000000e+02,"2007-05-10","OLLA",8.7759500000000000e+04,"2007-03-28","admin"
41,"ATM","ANGEL T MUGLER",2.0000000000000000e+03,1.8000000000000000e+02,"2007-05-10","OLLA",2.7977500000000000e+04,"2007-03-28","admin"
42,"AVE","5TH AVENUE E ARDEN",2.5000000000000000e+03,1.9250000000000000e+02,"2007-05-10","OLLA",8.5731500000000000e+04,"2007-03-28","admin"
44,"BDS","BE DELICIOUS DKNY W",2.5000000000000000e+03,1.5000000000000000e+02,"2007-05-10","OLLA",2.3468000000000000e+04,"2007-03-28","admin"
45,"BFM","BVLGARI FEMME W",2.0000000000000000e+03,8.2500000000000000e+01,"2007-05-10","OLLA",2.9464000000000000e+04,"2007-03-28","admin"
46,"BLW","BVLGARI BLUE WOMAN",2.0000000000000000e+03,2.9250000000000000e+02,"2007-05-10","OLLA",2.5642500000000000e+04,"2007-03-28","admin"
47,"CDN","BELONG CELINE DION W",2.0000000000000000e+03,3.0000000000000000e+02,"2007-05-10","OLLA",3.0937500000000000e+04,"2007-03-28","admin"
48,"CHH","HAPPY HEART W",2.0000000000000000e+03,1.3250000000000000e+02,"2007-05-10","OLLA",2.8644500000000000e+04,"2007-03-28","admin"
49,"CRS","CURIOUS BRITNEY W",2.0000000000000000e+03,1.8250000000000000e+02,"2007-05-10","OLLA",2.3576500000000000e+04,"2007-03-28","admin"
50,"CWW","COOL WATER W",2.0000000000000000e+03,1.6300000000000000e+02,"2007-05-10","OLLA",7.9425000000000000e+04,"2007-03-28","admin"
52,"DNW","DUNE WOMAN",2.0000000000000000e+03,9.0000000000000000e+01,"2007-05-10","OLLA",2.8370000000000000e+04,"2007-03-28","admin"
53,"ECW","ESCAPE WOMAN",2.0000000000000000e+03,1.8500000000000000e+02,"2007-05-10","OLLA",2.9445000000000000e+04,"2007-03-28","admin"
54,"EDC","EAU DE CARTIER W",2.0000000000000000e+03,1.3000000000000000e+02,"2007-05-10","OLLA",3.0937000000000000e+04,"2007-03-28","admin"
55,"ENV","GUCCI ENVE ME W",2.0000000000000000e+03,2.2750000000000000e+02,"2007-03-28","admin",0.0000000000000000e+00,"2007-03-28","admin"
56,"ETW","ETERNITY WOMAN",2.0000000000000000e+03,1.3500000000000000e+02,"2007-05-10","OLLA",6.0390500000000000e+04,"2007-03-28","admin"
57,"EXO","PLEASURE EXOTIC W",2.0000000000000000e+03,1.1500000000000000e+02,"2007-05-10","OLLA",7.6342500000000000e+04,"2007-03-28","admin"
59,"GT","GREEN TEA ARDEN W",2.0000000000000000e+03,8.2500000000000000e+01,"2007-05-10","OLLA",6.0181000000000000e+04,"2007-03-28","admin"
61,"BDR","BOSS DEEP RED W",2.0000000000000000e+03,2.1900000000000000e+02,"2007-05-10","OLLA",2.1018000000000000e+04,"2007-03-28","admin"
62,"ICM","ICANTO CHARM SF W",2.0000000000000000e+03,2.3250000000000000e+02,"2007-05-10","OLLA",5.4831000000000000e+04,"2007-03-28","admin"
63,"ISW","ISSEYMIYAKE W",2.0000000000000000e+03,2.5500000000000000e+02,"2007-05-10","OLLA",5.7014500000000000e+04,"2007-03-28","admin"
64,"KIS","ISLAND KISS ESC W",2.0000000000000000e+03,2.0000000000000000e+02,"2007-05-10","OLLA",5.5131500000000000e+04,"2007-03-28","admin"
65,"KD","KENZO DAUN W",2.0000000000000000e+03,1.4000000000000000e+02,"2007-05-10","OLLA",8.2301500000000000e+04,"2007-03-28","admin"
66,"KF","KENZO FLOWER",2.0000000000000000e+03,2.2000000000000000e+02,"2007-05-10","OLLA",1.0989500000000000e+04,"2007-03-28","admin"
67,"KLW","KENZO LEUPAR W",2.0000000000000000e+03,1.7050000000000000e+02,"2007-05-10","OLLA",3.1294500000000000e+04,"2007-03-28","admin"
69,"LVE","LIVE J-LO W",2.0000000000000000e+03,9.2500000000000000e+01,"2007-05-10","OLLA",2.2000000000000000e+02,"2007-05-10","OLLA"
70,"MGL","MIAMI GLOW J-LO W",2.5000000000000000e+03,2.0000000000000000e+02,"2007-05-10","OLLA",3.0976000000000000e+04,"2007-03-28","admin"
71,"OMN","OMNIA BVLGARI W",2.0000000000000000e+03,1.5250000000000000e+02,"2007-05-10","OLLA",8.9102500000000000e+04,"2007-03-28","admin"
72,"PHW","PARIS HILTON W",2.5000000000000000e+03,2.4700000000000000e+02,"2007-05-10","OLLA",3.3984000000000000e+04,"2007-03-28","admin"
73,"PLS","PLEASURE ESTEE W",2.0000000000000000e+03,1.5550000000000000e+02,"2007-05-10","OLLA",7.9641000000000000e+04,"2007-03-28","admin"
74,"PRJ","PREMIER JOURE NINA W",2.5000000000000000e+03,1.4250000000000000e+02,"2007-05-10","OLLA",6.0595500000000000e+04,"2007-03-28","admin"
75,"PRP","PURE PURPLE HUGO W",2.0000000000000000e+03,2.4000000000000000e+02,"2007-05-10","OLLA",4.6150000000000000e+03,"2007-03-28","admin"
77,"SD","SUI DREAM ANNA SUI W",2.0000000000000000e+03,2.3500000000000000e+02,"2007-05-10","OLLA",7.3135500000000000e+04,"2007-03-28","admin"
78,"SGT","SEXY GARFITTI ESC W",2.0000000000000000e+03,3.4000000000000000e+01,"2007-05-10","OLLA",3.8864000000000000e+04,"2007-03-28","admin"
79,"SMS","SAMSARA GUARLAIN W",3.0000000000000000e+03,1.5900000000000000e+02,"2007-05-10","OLLA",2.0916000000000000e+04,"2007-03-28","admin"
81,"STL","STILL J-LO W",2.0000000000000000e+03,2.6500000000000000e+02,"2007-05-10","OLLA",1.4898500000000000e+04,"2007-03-28","admin"
82,"SXY","212 SEXY CAROLINA W",2.0000000000000000e+03,1.4500000000000000e+02,"2007-05-10","OLLA",7.5872500000000000e+04,"2007-03-28","admin"
84,"TRB","TRIBU BENNETON W",2.0000000000000000e+03,2.2000000000000000e+02,"2007-05-10","OLLA",3.0087000000000000e+04,"2007-03-28","admin"
85,"TRS","TRESOR LANCOME W",2.0000000000000000e+03,2.5000000000000000e+02,"2007-05-10","OLLA",5.9735000000000000e+04,"2007-03-28","admin"
86,"TRU","TRUE LOVE ARDEN W",2.0000000000000000e+03,2.8000000000000000e+02,"2007-05-10","OLLA",2.7162500000000000e+04,"2007-03-28","admin"
87,"VNL","VANILLA BODYSHOP W",2.0000000000000000e+03,2.6000000000000000e+02,"2007-05-10","OLLA",3.0920500000000000e+04,"2007-03-28","admin"
88,"WMW","WHITE MUSK BODYSHOP",3.0000000000000000e+03,2.5400000000000000e+02,"2007-05-10","OLLA",7.5989500000000000e+04,"2007-03-28","admin"
89,"222W","212 WOMAN HERERRA",2.0000000000000000e+03,1.8850000000000000e+02,"2007-05-10","OLLA",9.0680000000000007e+01,"2007-03-28","admin"
90,"BLA","BVLGARI ACVA U",2.0000000000000000e+03,2.7750000000000000e+02,"2007-05-10","OLLA",9.9250000000000000e+03,"2007-03-28","admin"
91,"SA","SWISS ARMY U",2.0000000000000000e+03,1.5500000000000000e+02,"2007-05-10","OLLA",2.6196500000000000e+04,"2007-03-28","admin"
93,"CKS","CK SUMMER U",2.0000000000000000e+03,9.5000000000000000e+01,"2007-05-10","OLLA",2.9864000000000000e+04,"2007-03-28","admin"
94,"CKB","CK Be",2.0000000000000000e+03,1.7950000000000000e+02,"2007-05-10","OLLA",2.9428500000000000e+04,"2007-03-28","admin"
95,"LB","LIGHT BLUE D&G",2.5000000000000000e+03,2.3000000000000000e+02,"2007-05-10","OLLA",2.9160000000000000e+04,"2007-03-28","admin"
96,"LMN","LEMON",2.0000000000000000e+03,1.0250000000000000e+02,"2007-05-10","OLLA",8.0000000000000000e+01,"2007-05-10","OLLA"
97,"SGS","SUGUS CANDY",2.0000000000000000e+03,9.7500000000000000e+01,"2007-05-10","OLLA",1.9487500000000000e+04,"2007-03-28","admin"
99,"APL","APPLE GREEN",2.0000000000000000e+03,3.5000000000000000e+01,"2007-05-10","OLLA",9.4780000000000000e+03,"2007-03-28","admin"
100,"MRK","PASSION FRUITS",2.0000000000000000e+03,2.5000000000000000e+01,"2007-05-10","OLLA",1.0970000000000000e+04,"2007-03-28","admin"
101,"JSM","JASMIN",2.0000000000000000e+03,3.7500000000000000e+01,"2007-05-10","OLLA",2.5339000000000000e+04,"2007-03-28","admin"
102,"LUX","LUX SOAP",2.0000000000000000e+03,4.7500000000000000e+01,"2007-05-10","OLLA",2.8014500000000000e+04,"2007-03-28","admin"
103,"MLN","MELON",2.0000000000000000e+03,1.0000000000000000e+02,"2007-05-10","OLLA",1.1000000000000000e+04,"2007-03-28","admin"
104,"ORG","ORANGE",2.0000000000000000e+03,9.5000000000000000e+01,"2007-05-10","OLLA",1.1000000000000000e+04,"2007-03-28","admin"
106,"CDL","CUDDLE TALC",2.0000000000000000e+03,7.0000000000000000e+01,"2007-05-10","OLLA",1.0985000000000000e+04,"2007-03-28","admin"
107,"CSN","CUSSON",2.0000000000000000e+03,8.2500000000000000e+01,"2007-05-10","OLLA",9.0210000000000000e+04,"2007-03-28","admin"
108,"AMB","AMBIPHUR AQUA",2.0000000000000000e+03,5.2500000000000000e+01,"2007-05-10","OLLA",9.0960000000000000e+04,"2007-03-28","admin"
110,"ALS","ALLURE SPORT M ",2.0000000000000000e+03,1.5500000000000000e+02,"2007-05-10","OLLA",4.9131500000000000e+04,"2007-03-28","admin"
111,"AQL","AQUAELEMENT HUGO M",2.0000000000000000e+03,1.4650000000000000e+02,"2007-05-10","OLLA",1.0499500000000000e+04,"2007-03-28","admin"
113,"BBC","BVLGARI BLACK M",2.5000000000000000e+03,2.2300000000000000e+02,"2007-05-10","OLLA",3.9985000000000002e+02,"2007-03-28","admin"
114,"BDS-M","BE DELICIOUS MAN",2.0000000000000000e+03,1.5500000000000000e+02,"2007-05-10","OLLA",3.0955000000000000e+04,"2007-03-28","admin"
115,"BJV","BLUE JEAN VERSACE M",2.0000000000000000e+03,6.8000000000000000e+01,"2007-05-10","OLLA",5.6045500000000000e+04,"2007-03-28","admin"
116,"BLE","BLUE EMOTION M",2.5000000000000000e+03,1.9450000000000000e+02,"2007-05-10","OLLA",2.7757000000000000e+04,"2007-03-28","admin"
117,"BLM","BVLGARI BLUE MAN",2.0000000000000000e+03,2.2400000000000000e+02,"2007-05-10","OLLA",8.8817500000000000e+04,"2007-03-28","admin"
118,"BSM","BENNETON SPORT MAN",2.0000000000000000e+03,1.3250000000000000e+02,"2007-05-10","OLLA",4.8387500000000000e+04,"2007-03-28","admin"
119,"BSC","SELECTION BOSS M",2.5000000000000000e+03,2.2250000000000000e+02,"2007-05-10","OLLA",2.3652000000000000e+04,"2007-03-28","admin"
122,"BRT","BURRBERRY BRIT M",2.0000000000000000e+03,2.1600000000000000e+02,"2007-05-10","OLLA",3.0235000000000000e+04,"2007-03-28","admin"
123,"BXS","BLACK XS PACCO M",2.0000000000000000e+03,2.3250000000000000e+02,"2007-05-10","OLLA",8.6437000000000000e+04,"2007-03-28","admin"
124,"CDM","CLEAR DAY EA M",2.0000000000000000e+03,3.0000000000000000e+02,"2007-05-10","OLLA",3.0317500000000000e+04,"2007-03-28","admin"
125,"CHM","CLINIQUE HAPPY M",2.0000000000000000e+03,2.4650000000000000e+02,"2007-05-10","OLLA",3.9539999999999998e+02,"2007-03-28","admin"
126,"CRV","CRAVE CK M",2.0000000000000000e+03,1.7450000000000000e+02,"2007-05-10","OLLA",2.8930000000000000e+04,"2007-03-28","admin"
127,"CUK","FCUK M",2.0000000000000000e+03,2.8500000000000000e+02,"2007-05-10","OLLA",5.0066000000000000e+04,"2007-03-28","admin"
128,"CWM","COOL WATER M",2.0000000000000000e+03,7.8500000000000000e+01,"2007-05-10","OLLA",8.0080000000000000e+04,"2007-03-28","admin"
131,"DDR","DUNHILL D RED M",2.0000000000000000e+03,2.3500000000000000e+02,"2007-05-10","OLLA",5.5888500000000000e+04,"2007-03-28","admin"
132,"DRC","DERRICK M",2.0000000000000000e+03,3.0000000000000000e+02,"2007-05-09","admin",3.0807000000000000e+04,"2007-03-28","admin"
133,"DKK","DRAKKAR NOIR M",2.0000000000000000e+03,2.2750000000000000e+02,"2007-05-10","OLLA",5.2356500000000000e+04,"2007-03-28","admin"
134,"DRK","DARK BLUE HUGO M",2.5000000000000000e+03,8.8000000000000000e+01,"2007-05-10","OLLA",8.4861000000000000e+04,"2007-03-28","admin"
135,"ECH","ECHO DAVIDOFF M",2.0000000000000000e+03,1.0550000000000000e+02,"2007-05-10","OLLA",2.5781500000000000e+04,"2007-03-28","admin"
136,"ECM","ESCAPE M",2.0000000000000000e+03,1.9600000000000000e+02,"2007-05-10","OLLA",3.5000000000000000e+02,"2007-05-10","OLLA"
137,"EGS","ENERGISE BOSS M",2.0000000000000000e+03,1.6050000000000000e+02,"2007-05-10","OLLA",4.0893500000000000e+04,"2007-03-28","admin"
139,"ETM","ETERNITY M",2.0000000000000000e+03,2.9250000000000000e+02,"2007-05-10","OLLA",7.3630500000000000e+04,"2007-03-28","admin"
140,"EXT","EXTREME BVLGARI M",2.0000000000000000e+03,2.0350000000000000e+02,"2007-05-10","OLLA",2.9250000000000000e+02,"2007-05-09","admin"
141,"FHR","FAHREINHEIT CD M",2.0000000000000000e+03,9.2500000000000000e+01,"2007-05-10","OLLA",2.7386000000000000e+04,"2007-03-28","admin"
142,"FRB","FERRARI BLACK M",2.0000000000000000e+03,1.6000000000000000e+02,"2007-05-10","OLLA",5.8605500000000000e+04,"2007-03-28","admin"
143,"INM","INMOTION BOSS M",2.0000000000000000e+03,2.3000000000000000e+02,"2007-05-10","OLLA",5.5228500000000000e+04,"2007-03-28","admin"
144,"JSS","JAZZ YSL M",2.0000000000000000e+03,1.4900000000000000e+02,"2007-05-10","OLLA",2.9824000000000000e+04,"2007-03-28","admin"
145,"JGB","JAGUAR BLUE M",2.5000000000000000e+03,3.0000000000000000e+02,"2007-05-10","OLLA",5.1669500000000000e+04,"2007-03-28","admin"
147,"KB","KENZO BATANG M",2.0000000000000000e+03,1.2150000000000000e+02,"2007-05-10","OLLA",2.2000000000000000e+02,"2007-05-10","OLLA"
148,"NTE","NOTTE BVLGARI M",2.0000000000000000e+03,1.6000000000000000e+02,"2007-05-10","OLLA",7.8736000000000000e+04,"2007-03-28","admin"
150,"PSM","POLO SPORT M",2.0000000000000000e+03,1.1950000000000000e+02,"2007-05-09","admin",7.7435000000000000e+04,"2007-03-28","admin"
152,"SNT","SENTIMENT ESC M",2.0000000000000000e+03,1.2350000000000000e+02,"2007-05-10","OLLA",3.5650000000000000e+04,"2007-03-28","admin"
153,"SOL","SOUL HUGO BOSS M",2.5000000000000000e+03,2.6000000000000000e+02,"2007-05-10","OLLA",5.1010000000000000e+04,"2007-03-28","admin"
154,"X3","XXX ETIENNE AIGNER M",3.0000000000000000e+03,1.3919999999999999e+02,"2007-05-10","OLLA",5.6996000000000000e+04,"2007-03-28","admin"
155,"222","212 MAN",3.0000000000000000e+03,5.0000000000000000e+00,"2007-05-10","OLLA",3.8682900000000001e+04,"2007-03-28","admin"
156,"SLM","SHALIMAR GUARLAIN M",3.0000000000000000e+03,7.5000000000000000e+01,"2007-05-10","OLLA",2.0948000000000000e+04,"2007-03-28","admin"
158,"ACD","ARMANI CODE W",2.0000000000000000e+03,1.4500000000000000e+02,"2007-05-10","OLLA",2.5500000000000000e+02,"2007-03-31","admin"
160,"BLD","BVLGARI LADY",2.0000000000000000e+03,1.5250000000000000e+02,"2007-05-10","OLLA",1.7750000000000000e+02,"2007-03-31","admin"
161,"BPS","BEYOND PARADISE",2.0000000000000000e+03,1.5500000000000000e+02,"2007-03-31","admin",0.0000000000000000e+00,"2007-03-31","admin"
162,"MGT","MAGNETISEM ESC W",2.0000000000000000e+03,1.9250000000000000e+02,"2007-03-31","admin",0.0000000000000000e+00,"2007-03-31","admin"
163,"ADW","AQUA DI GIO W",2.0000000000000000e+03,6.0000000000000000e+01,"2007-05-10","OLLA",1.7000000000000000e+02,"2007-03-31","admin"
164,"DDB","DUNHILL DESIRE BLUE",2.0000000000000000e+03,1.1150000000000000e+02,"2007-05-10","OLLA",2.7300000000000000e+02,"2007-05-09","admin"
43,"BBL","BURBERRY OF LONDON W",2.5000000000000000e+03,2.7850000000000000e+02,"2007-05-10","OLLA",1.1752500000000000e+04,"2007-03-28","admin"
51,"C5","CHANEL 5 W",2.0000000000000000e+03,2.0000000000000000e+02,"2007-05-10","OLLA",2.9052500000000000e+04,"2007-03-28","admin"
58,"FTY","FANTASY BRITNEY W",2.0000000000000000e+03,1.5600000000000000e+02,"2007-05-10","OLLA",6.0449500000000000e+04,"2007-03-28","admin"
68,"LIP","LOVE IN PARIS NINA W",2.0000000000000000e+03,1.8500000000000000e+02,"2007-05-10","OLLA",6.0701500000000000e+04,"2007-03-28","admin"
76,"RSH","RUSH GUCCI W",2.0000000000000000e+03,9.5000000000000000e+01,"2007-05-10","OLLA",3.0949000000000000e+04,"2007-03-28","admin"
92,"CK","CK ONE U",2.0000000000000000e+03,1.5000000000000000e+02,"2007-05-10","OLLA",5.5345000000000000e+04,"2007-03-28","admin"
