idsales,sales_idcust,sales_idvariant,sales_mililiter,sales_totalml,sales_idbotol,sales_hargavariant,sales_hargabotol,sales_hargatotal,sales_diskon,sales_hargadiskon,sales_date,sales_author,sales_status
66,41,66,7.5000000000000000e+00,1.0000000000000000e+01,61,2.0000000000000000e+03,0.0000000000000000e+00,1.5000000000000000e+04,0.0000000000000000e+00,1.5000000000000000e+04,"2007-03-28","admin",1
67,42,60,7.5000000000000000e+00,1.0000000000000000e+01,61,2.0000000000000000e+03,0.0000000000000000e+00,1.5000000000000000e+04,0.0000000000000000e+00,1.5000000000000000e+04,"2007-03-28","admin",1
68,42,49,7.5000000000000000e+00,1.0000000000000000e+01,61,2.0000000000000000e+03,0.0000000000000000e+00,1.5000000000000000e+04,0.0000000000000000e+00,1.5000000000000000e+04,"2007-03-28","admin",1
69,43,95,7.0000000000000000e+00,1.0000000000000000e+01,61,2.5000000000000000e+03,0.0000000000000000e+00,1.7500000000000000e+04,0.0000000000000000e+00,1.7500000000000000e+04,"2007-03-28","admin",1
70,43,130,7.5000000000000000e+00,1.0000000000000000e+01,61,2.0000000000000000e+03,0.0000000000000000e+00,1.5000000000000000e+04,0.0000000000000000e+00,1.5000000000000000e+04,"2007-03-28","admin",0
71,43,95,7.0000000000000000e+00,1.0000000000000000e+01,61,2.5000000000000000e+03,0.0000000000000000e+00,1.7500000000000000e+04,0.0000000000000000e+00,1.7500000000000000e+04,"2007-03-28","admin",1
72,43,50,7.5000000000000000e+00,1.0000000000000000e+01,61,2.0000000000000000e+03,0.0000000000000000e+00,1.5000000000000000e+04,0.0000000000000000e+00,1.5000000000000000e+04,"2007-03-28","admin",1
73,44,130,7.5000000000000000e+00,1.0000000000000000e+01,61,2.0000000000000000e+03,0.0000000000000000e+00,1.5000000000000000e+04,0.0000000000000000e+00,1.5000000000000000e+04,"2007-03-28","admin",0
74,44,109,7.5000000000000000e+00,1.0000000000000000e+01,61,2.0000000000000000e+03,0.0000000000000000e+00,1.5000000000000000e+04,0.0000000000000000e+00,1.5000000000000000e+04,"2007-03-28","admin",1
75,45,72,1.2500000000000000e+01,2.5000000000000000e+01,52,2.5000000000000000e+03,0.0000000000000000e+00,3.1250000000000000e+04,2.0000000000000000e+01,2.5000000000000000e+04,"2007-03-28","admin",1
76,46,128,1.4000000000000000e+01,2.0000000000000000e+01,46,2.0000000000000000e+03,0.0000000000000000e+00,2.8000000000000000e+04,2.0000000000000000e+01,2.2400000000000000e+04,"2007-03-28","admin",1
77,47,102,7.5000000000000000e+00,1.0000000000000000e+01,61,2.0000000000000000e+03,0.0000000000000000e+00,1.5000000000000000e+04,2.0000000000000000e+01,1.2000000000000000e+04,"2007-03-28","admin",1
78,47,139,1.7500000000000000e+01,3.5000000000000000e+01,58,2.0000000000000000e+03,6.0000000000000000e+03,4.1000000000000000e+04,2.0000000000000000e+01,3.2800000000000000e+04,"2007-03-28","admin",1
79,47,71,7.5000000000000000e+00,1.0000000000000000e+01,61,2.0000000000000000e+03,0.0000000000000000e+00,1.5000000000000000e+04,2.0000000000000000e+01,1.2000000000000000e+04,"2007-03-28","admin",1
80,47,72,7.0000000000000000e+00,1.0000000000000000e+01,61,2.5000000000000000e+03,0.0000000000000000e+00,1.7500000000000000e+04,2.0000000000000000e+01,1.4000000000000000e+04,"2007-03-28","admin",1
81,47,67,7.5000000000000000e+00,1.0000000000000000e+01,61,2.0000000000000000e+03,0.0000000000000000e+00,1.5000000000000000e+04,2.0000000000000000e+01,1.2000000000000000e+04,"2007-03-28","admin",1
82,47,69,7.5000000000000000e+00,1.0000000000000000e+01,61,2.0000000000000000e+03,0.0000000000000000e+00,1.5000000000000000e+04,2.0000000000000000e+01,1.2000000000000000e+04,"2007-03-28","admin",1
83,47,94,7.5000000000000000e+00,1.0000000000000000e+01,61,2.0000000000000000e+03,0.0000000000000000e+00,1.5000000000000000e+04,2.0000000000000000e+01,1.2000000000000000e+04,"2007-03-28","admin",1
84,47,84,7.5000000000000000e+00,1.0000000000000000e+01,61,2.0000000000000000e+03,0.0000000000000000e+00,1.5000000000000000e+04,0.0000000000000000e+00,1.5000000000000000e+04,"2007-03-28","admin",1
85,48,69,7.5000000000000000e+00,1.0000000000000000e+01,61,2.0000000000000000e+03,0.0000000000000000e+00,1.5000000000000000e+04,2.0000000000000000e+01,1.2000000000000000e+04,"2007-03-28","admin",1
86,48,75,1.7500000000000000e+01,2.5000000000000000e+01,52,2.0000000000000000e+03,0.0000000000000000e+00,3.5000000000000000e+04,0.0000000000000000e+00,3.5000000000000000e+04,"2007-03-28","admin",1
87,48,50,7.5000000000000000e+00,1.0000000000000000e+01,61,2.0000000000000000e+03,0.0000000000000000e+00,1.5000000000000000e+04,0.0000000000000000e+00,1.5000000000000000e+04,"2007-03-28","admin",1
88,49,125,7.5000000000000000e+00,1.0000000000000000e+01,61,2.0000000000000000e+03,0.0000000000000000e+00,1.5000000000000000e+04,2.0000000000000000e+01,1.2000000000000000e+04,"2007-03-28","admin",1
89,49,125,5.0000000000000000e+00,7.0000000000000000e+00,46,2.0000000000000000e+03,0.0000000000000000e+00,1.0000000000000000e+04,0.0000000000000000e+00,1.0000000000000000e+04,"2007-03-28","admin",1
90,50,72,7.0000000000000000e+00,1.0000000000000000e+01,61,2.5000000000000000e+03,0.0000000000000000e+00,1.7500000000000000e+04,2.0000000000000000e+01,1.4000000000000000e+04,"2007-03-28","admin",1
91,50,109,7.5000000000000000e+00,1.0000000000000000e+01,61,2.0000000000000000e+03,0.0000000000000000e+00,1.5000000000000000e+04,2.0000000000000000e+01,1.2000000000000000e+04,"2007-03-28","admin",1
92,50,69,1.5000000000000000e+01,2.5000000000000000e+01,52,2.0000000000000000e+03,0.0000000000000000e+00,3.0000000000000000e+04,0.0000000000000000e+00,3.0000000000000000e+04,"2007-03-28","admin",1
93,51,130,1.2500000000000000e+01,2.5000000000000000e+01,52,2.0000000000000000e+03,0.0000000000000000e+00,2.5000000000000000e+04,2.0000000000000000e+01,2.0000000000000000e+04,"2007-03-28","admin",0
94,52,91,7.5000000000000000e+00,1.0000000000000000e+01,61,2.0000000000000000e+03,0.0000000000000000e+00,1.5000000000000000e+04,2.0000000000000000e+01,1.2000000000000000e+04,"2007-03-28","admin",1
95,52,130,7.5000000000000000e+00,1.0000000000000000e+01,61,2.0000000000000000e+03,0.0000000000000000e+00,1.5000000000000000e+04,2.0000000000000000e+01,1.2000000000000000e+04,"2007-03-28","admin",0
96,52,102,7.5000000000000000e+00,1.0000000000000000e+01,61,2.0000000000000000e+03,0.0000000000000000e+00,1.5000000000000000e+04,2.0000000000000000e+01,1.2000000000000000e+04,"2007-03-28","admin",1
97,52,153,5.0000000000000000e+00,7.0000000000000000e+00,46,2.5000000000000000e+03,0.0000000000000000e+00,1.2500000000000000e+04,2.0000000000000000e+01,1.0000000000000000e+04,"2007-03-28","admin",1
98,52,72,7.0000000000000000e+00,1.0000000000000000e+01,61,2.5000000000000000e+03,0.0000000000000000e+00,1.7500000000000000e+04,2.0000000000000000e+01,1.4000000000000000e+04,"2007-03-28","admin",1
99,52,40,7.0000000000000000e+00,1.0000000000000000e+01,61,2.5000000000000000e+03,0.0000000000000000e+00,1.7500000000000000e+04,2.0000000000000000e+01,1.4000000000000000e+04,"2007-03-28","admin",1
