idbotol,botol_tipe,botol_harga,botol_stock,botol_date,botol_author,botol_ls_stock,botol_ls_date,botol_ls_author
52,"25 CC PLASTI",0.0000000000000000e+00,0.0000000000000000e+00,"2007-03-28","admin",0.0000000000000000e+00,"2007-03-28","admin"
53,"60 CC PLASTI",0.0000000000000000e+00,8.5000000000000000e+01,"2007-06-01","YUNI",1.0600000000000000e+02,"2007-03-28","admin"
54,"ROL ON",3.0000000000000000e+03,5.0000000000000000e+01,"2007-03-28","admin",0.0000000000000000e+00,"2007-03-28","admin"
56,"35 CC CLEAR",8.0000000000000000e+03,0.0000000000000000e+00,"2007-03-28","admin",0.0000000000000000e+00,"2007-03-28","admin"
57,"50 CC DOFF",7.0000000000000000e+03,0.0000000000000000e+00,"2007-07-10","YUNI",5.9000000000000000e+01,"2007-03-28","admin"
58,"35 CC DOFF",7.0000000000000000e+03,0.0000000000000000e+00,"2007-06-12","YUNI",1.3400000000000000e+02,"2007-03-28","admin"
59,"40 CC KF",8.0000000000000000e+03,0.0000000000000000e+00,"2007-06-12","YUNI",8.9000000000000000e+01,"2007-03-28","admin"
60,"55 CC KF",8.0000000000000000e+03,0.0000000000000000e+00,"2007-06-12","YUNI",9.1000000000000000e+01,"2007-03-28","admin"
62,"10 CC PLASTI",0.0000000000000000e+00,0.0000000000000000e+00,"2007-04-01","admin",0.0000000000000000e+00,"2007-04-01","admin"
63,"7CC LIPSTIK",5.0000000000000000e+03,0.0000000000000000e+00,"2007-05-09","admin",0.0000000000000000e+00,"2007-05-09","admin"
64,"70CC JADORE",8.0000000000000000e+03,0.0000000000000000e+00,"2007-07-01","OLLA",0.0000000000000000e+00,"2007-07-01","OLLA"
65,"13 CC CLEAR",6.0000000000000000e+03,2.0000000000000000e+01,"2007-07-20","OLLA",0.0000000000000000e+00,"2007-07-20","OLLA"
66,"3 CC ROLL ON",3.0000000000000000e+03,0.0000000000000000e+00,"2007-07-20","OLLA",0.0000000000000000e+00,"2007-07-20","OLLA"
68,"40 CC FLORAL",8.0000000000000000e+03,0.0000000000000000e+00,"2007-09-11","OLLA",0.0000000000000000e+00,"2007-09-11","OLLA"
69,"50 PLEASURE",7.0000000000000000e+03,0.0000000000000000e+00,"2008-02-18","YUNI",0.0000000000000000e+00,"2008-02-18","YUNI"
70,"25 CC TOWER",8.0000000000000000e+03,0.0000000000000000e+00,"2008-03-30","YUNI",0.0000000000000000e+00,"2008-03-30","YUNI"
71,"30CC KOTAK",7.0000000000000000e+03,0.0000000000000000e+00,"2008-03-30","YUNI",0.0000000000000000e+00,"2008-03-30","YUNI"
72,"55CC TOWER",8.0000000000000000e+03,0.0000000000000000e+00,"2008-03-30","YUNI",0.0000000000000000e+00,"2008-03-30","YUNI"
73,"50CC KOTAK",8.0000000000000000e+03,0.0000000000000000e+00,"2008-03-30","YUNI",0.0000000000000000e+00,"2008-03-30","YUNI"
74,"50CC CROWN",8.0000000000000000e+03,0.0000000000000000e+00,"2008-03-30","YUNI",0.0000000000000000e+00,"2008-03-30","YUNI"
75,"30 SG CLEAR",8.0000000000000000e+03,2.1000000000000000e+01,"2008-04-17","YUNI",0.0000000000000000e+00,"2008-04-17","YUNI"
76,"PRE",6.0000000000000000e+03,0.0000000000000000e+00,"2008-05-06","OLLA",0.0000000000000000e+00,"2008-05-06","OLLA"
77,"35 CC GARIS",8.0000000000000000e+03,0.0000000000000000e+00,"2008-06-18","YUNI",0.0000000000000000e+00,"2008-06-18","YUNI"
78,"55 CC GARIS",8.0000000000000000e+03,0.0000000000000000e+00,"2008-07-05","YUNI",0.0000000000000000e+00,"2008-07-05","YUNI"
143,"REFILL",0.0000000000000000e+00,2.9300000000000000e+02,"2015-12-24","sysadmin",0.0000000000000000e+00,"2015-12-24","sysadmin"
79,"10CC LIPSTIK",5.0000000000000000e+03,0.0000000000000000e+00,"2008-09-26","OLLA",0.0000000000000000e+00,"2008-09-26","OLLA"
80,"100 PLO",1.1000000000000000e+04,1.2000000000000000e+01,"2008-11-18","YUNI",0.0000000000000000e+00,"2008-11-18","YUNI"
81,"35 VIAL",7.0000000000000000e+03,0.0000000000000000e+00,"2009-01-07","OLLA",0.0000000000000000e+00,"2009-01-07","OLLA"
82,"60 VIAL",7.0000000000000000e+03,1.5000000000000000e+01,"2009-01-23","OLLA",0.0000000000000000e+00,"2009-01-23","OLLA"
83,"50CK",9.0000000000000000e+03,0.0000000000000000e+00,"2009-02-21","YUNI",0.0000000000000000e+00,"2009-02-21","YUNI"
84,"50B",9.0000000000000000e+03,0.0000000000000000e+00,"2009-02-24","OLLA",0.0000000000000000e+00,"2009-02-24","OLLA"
85,"20 U",7.0000000000000000e+03,0.0000000000000000e+00,"2009-02-24","OLLA",0.0000000000000000e+00,"2009-02-24","OLLA"
86,"35 K",8.0000000000000000e+03,2.9000000000000000e+01,"2009-02-24","OLLA",0.0000000000000000e+00,"2009-02-24","OLLA"
87,"55 S",9.0000000000000000e+03,2.9000000000000000e+01,"2009-03-07","OLLA",0.0000000000000000e+00,"2009-03-07","OLLA"
88,"25 VIAL",7.0000000000000000e+03,0.0000000000000000e+00,"2009-03-14","YUNI",0.0000000000000000e+00,"2009-03-14","YUNI"
89,"30 C",8.0000000000000000e+03,0.0000000000000000e+00,"2009-06-01","OLLA",0.0000000000000000e+00,"2009-06-01","OLLA"
