idvariant,variant_kode,variant_nama,variant_harga,variant_stock,variant_date,variant_author,variant_ls_stock,variant_ls_date,variant_ls_author
39,"ALR","ALR WOMAN",2.5000000000000000e+03,2.1190000000000001e+02,"2007-05-10","OLLA",8.7759500000000000e+04,"2007-03-28","admin"
40,"ARW","ARW WOMAN",2.5000000000000000e+03,2.0800000000000000e+02,"2007-05-10","OLLA",8.7798500000000000e+04,"2007-03-28","admin"
41,"ATM","ATM WOMAN",2.5000000000000000e+03,2.3600000000000000e+02,"2007-05-10","OLLA",2.7977500000000000e+04,"2007-03-28","admin"
42,"AVE","AVE WOMAN",3.0000000000000000e+03,3.0000000000000000e+02,"2007-05-10","OLLA",8.5731500000000000e+04,"2007-03-28","admin"
44,"BDS","BDS WOMAN",2.5000000000000000e+03,2.0799999999999997e+01,"2007-05-10","OLLA",2.3468000000000000e+04,"2007-03-28","admin"
46,"BLW","BLW WOMAN",2.5000000000000000e+03,2.6900000000000000e+02,"2007-05-10","OLLA",2.5642500000000000e+04,"2007-03-28","admin"
47,"CDN","CDN WOMAN",2.0000000000000000e+03,2.9000000000000000e+02,"2007-05-10","OLLA",3.0937500000000000e+04,"2007-03-28","admin"
48,"CHH","CHH WOMAN",2.5000000000000000e+03,3.0000000000000000e+02,"2007-05-10","OLLA",2.8644500000000000e+04,"2007-03-28","admin"
49,"CRS","CRS WOMAN",2.5000000000000000e+03,1.8619999999999999e+02,"2007-05-10","OLLA",2.3576500000000000e+04,"2007-03-28","admin"
50,"CWW","CWW WOMAN",2.5000000000000000e+03,2.0700000000000000e+02,"2007-05-10","OLLA",7.9425000000000000e+04,"2007-03-28","admin"
51,"C5","C5 WOMAN",2.5000000000000000e+03,2.7300000000000000e+02,"2007-05-10","OLLA",2.9052500000000000e+04,"2007-03-28","admin"
52,"DNW","DNW WOMAN",2.5000000000000000e+03,2.4280000000000001e+02,"2007-05-10","OLLA",2.8370000000000000e+04,"2007-03-28","admin"
53,"ECW","ECW WOMAN",2.5000000000000000e+03,2.6900000000000000e+02,"2007-05-10","OLLA",2.9445000000000000e+04,"2007-03-28","admin"
54,"EDC","EDC WOMAN",2.5000000000000000e+03,2.1100000000000000e+02,"2007-05-10","OLLA",3.0937000000000000e+04,"2007-03-28","admin"
55,"ENV","ENV WOMAN",2.5000000000000000e+03,1.9900000000000000e+02,"2007-03-28","admin",0.0000000000000000e+00,"2007-03-28","admin"
56,"ETW","ETW WOMAN",2.5000000000000000e+03,1.9200000000000000e+02,"2007-05-10","OLLA",6.0390500000000000e+04,"2007-03-28","admin"
57,"EXO","EXO WOMAN",3.0000000000000000e+03,1.7619999999999999e+02,"2007-05-10","OLLA",7.6342500000000000e+04,"2007-03-28","admin"
58,"FTY","FTY WOMAN",2.5000000000000000e+03,1.2780000000000001e+02,"2007-05-10","OLLA",6.0449500000000000e+04,"2007-03-28","admin"
59,"GT","GT WOMAN",2.5000000000000000e+03,7.6200000000000017e+01,"2007-05-10","OLLA",6.0181000000000000e+04,"2007-03-28","admin"
60,"GLW","GLW WOMAN",2.5000000000000000e+03,3.6860000000000002e+02,"2007-05-10","OLLA",2.7585000000000000e+04,"2007-03-28","admin"
61,"BDR","BDR WOMAN",2.5000000000000000e+03,2.6200000000000000e+02,"2007-05-10","OLLA",2.1018000000000000e+04,"2007-03-28","admin"
63,"ISW","ISW WOMAN",2.5000000000000000e+03,1.6540000000000001e+02,"2007-05-10","OLLA",5.7014500000000000e+04,"2007-03-28","admin"
64,"KIS","KIS WOMAN",2.5000000000000000e+03,1.4939999999999998e+02,"2007-05-10","OLLA",5.5131500000000000e+04,"2007-03-28","admin"
65,"KD","KD WOMAN",2.5000000000000000e+03,1.8060000000000002e+02,"2007-05-10","OLLA",8.2301500000000000e+04,"2007-03-28","admin"
66,"KF","KF WOMAN",2.5000000000000000e+03,3.0000000000000000e+02,"2007-05-10","OLLA",1.0989500000000000e+04,"2007-03-28","admin"
68,"LIP","LIP WOMAN",2.0000000000000000e+03,2.8000000000000000e+02,"2007-05-10","OLLA",6.0701500000000000e+04,"2007-03-28","admin"
69,"LVE","LVE WOMAN",2.5000000000000000e+03,1.7800000000000000e+02,"2007-05-10","OLLA",2.2000000000000000e+02,"2007-05-10","OLLA"
71,"OMN","OMN WOMAN",2.5000000000000000e+03,2.9100000000000000e+02,"2007-05-10","OLLA",8.9102500000000000e+04,"2007-03-28","admin"
72,"PHW","PHW WOMAN",2.5000000000000000e+03,2.1539999999999998e+02,"2007-05-10","OLLA",3.3984000000000000e+04,"2007-03-28","admin"
73,"PLS","PLS WOMAN",2.5000000000000000e+03,3.0000000000000000e+02,"2007-05-10","OLLA",7.9641000000000000e+04,"2007-03-28","admin"
74,"PRJ","PRJ WOMAN",2.5000000000000000e+03,2.2500000000000000e+02,"2007-05-10","OLLA",6.0595500000000000e+04,"2007-03-28","admin"
75,"PRP","PRP WOMAN",2.0000000000000000e+03,1.3700000000000000e+02,"2007-05-10","OLLA",4.6150000000000000e+03,"2007-03-28","admin"
77,"SD","SD WOMAN",2.5000000000000000e+03,2.3000000000000000e+02,"2007-05-10","OLLA",7.3135500000000000e+04,"2007-03-28","admin"
78,"SGT","SGT WOMAN",2.5000000000000000e+03,2.5100000000000000e+02,"2007-05-10","OLLA",3.8864000000000000e+04,"2007-03-28","admin"
79,"SMS","SMS WOMAN",3.0000000000000000e+03,1.7569999999999999e+02,"2007-05-10","OLLA",2.0916000000000000e+04,"2007-03-28","admin"
80,"SNW","SNW WOMAN",2.0000000000000000e+03,2.6500000000000000e+02,"2007-05-10","OLLA",5.9084000000000000e+04,"2007-03-28","admin"
81,"STL","STL WOMAN",2.5000000000000000e+03,4.0540000000000003e+02,"2007-05-10","OLLA",1.4898500000000000e+04,"2007-03-28","admin"
82,"SXY","SXY WOMAN",2.5000000000000000e+03,2.6100000000000000e+02,"2007-05-10","OLLA",7.5872500000000000e+04,"2007-03-28","admin"
83,"TOP","TOP WOMAN",2.0000000000000000e+03,1.4800000000000000e+02,"2007-05-10","OLLA",5.9148500000000000e+04,"2007-03-28","admin"
84,"TRB","TRB WOMAN",2.0000000000000000e+03,2.5000000000000000e+02,"2007-05-10","OLLA",3.0087000000000000e+04,"2007-03-28","admin"
85,"TRS","TRS WOMAN",2.5000000000000000e+03,2.3650000000000000e+02,"2007-05-10","OLLA",5.9735000000000000e+04,"2007-03-28","admin"
86,"TRU","TRU WOMAN",2.0000000000000000e+03,1.0700000000000000e+02,"2007-05-10","OLLA",2.7162500000000000e+04,"2007-03-28","admin"
87,"VNL","VNL WOMAN",2.5000000000000000e+03,2.3100000000000000e+02,"2007-05-10","OLLA",3.0920500000000000e+04,"2007-03-28","admin"
